epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,36.823012619018556,0.09125,18.334525146484374,0.09,2.4411864
2,14.159486999511719,0.1,11.84315155029297,0.095,2.301338
3,10.961069145202636,0.11375,10.20128433227539,0.04,2.2957566
4,9.661898231506347,0.10875,9.164478912353516,0.095,2.2871988
5,8.735062789916991,0.10875,8.321900901794434,0.11,2.284557
6,7.955675392150879,0.145,7.60904109954834,0.095,2.2766933
7,7.267657318115234,0.14875,6.958488254547119,0.25,2.2629392
8,6.685761775970459,0.16125,6.434129009246826,0.125,2.248602
9,6.166810970306397,0.14625,5.938157119750977,0.16,2.242753
10,5.658552017211914,0.20125,5.456207981109619,0.27,2.2073064
11,5.259603824615478,0.2525,5.116745071411133,0.295,2.1374354
12,4.881291313171387,0.23375,4.742488746643066,0.22,2.0934587
13,4.546578636169434,0.2725,4.455303153991699,0.195,2.042987
14,4.367073440551758,0.23125,4.165331859588623,0.335,2.1098464
15,4.005622034072876,0.29625,3.9429095649719237,0.355,1.975777
16,3.8004485893249513,0.3225,3.7661962509155273,0.335,1.9297357
17,3.609596405029297,0.315,3.548060207366943,0.42,1.8926363
18,3.467716588973999,0.32625,3.4210360145568846,0.38,1.8797469
19,3.3309181213378904,0.3425,3.267293567657471,0.33,1.8706808
20,3.2062244987487794,0.32625,3.1310564708709716,0.41,1.8614621
21,3.0288188743591307,0.3825,2.981301021575928,0.375,1.7804697
22,2.9271786880493162,0.3725,2.924140205383301,0.445,1.7363073
23,2.8876278018951416,0.38625,2.9083612823486327,0.345,1.7493118
24,2.7991159629821776,0.37625,2.771362886428833,0.365,1.7335087
25,2.699629487991333,0.4075,2.695958385467529,0.47,1.6825725
26,2.658661136627197,0.39,2.683337812423706,0.37,1.6964275
27,2.5851869678497312,0.41,2.551381578445435,0.455,1.6705877
28,2.493632230758667,0.4025,2.456755256652832,0.53,1.6204983
29,2.5186458587646485,0.40375,2.54759183883667,0.39,1.6691307
30,2.4743129062652587,0.395,2.45389310836792,0.485,1.6497054
31,2.3845205211639406,0.4575,2.37737943649292,0.575,1.5763468
32,2.3801863288879392,0.42375,2.358797969818115,0.485,1.5904464
33,2.3538069248199465,0.445,2.34218053817749,0.515,1.5835202
34,2.3101061725616456,0.45125,2.3585798931121826,0.455,1.5410725
35,2.3439784145355222,0.4475,2.312697525024414,0.48,1.581073
36,2.311346006393433,0.44875,2.3319297361373903,0.435,1.5644698
37,2.318442392349243,0.41375,2.3123388862609864,0.455,1.5880709
38,2.2989046287536623,0.45125,2.3742850494384764,0.37,1.5747186
39,2.224050455093384,0.47625,2.2417831897735594,0.505,1.5168314
40,2.2113350105285643,0.48625,2.231354694366455,0.46,1.514442
41,2.2161234188079835,0.44625,2.238735547065735,0.535,1.5125058
42,2.218460955619812,0.445,2.260145025253296,0.48,1.5104568
43,2.1648914575576783,0.48,2.277636070251465,0.38,1.4680896
44,2.190882182121277,0.47875,2.188532648086548,0.53,1.4956563
45,2.1566491603851317,0.495,2.1741735458374025,0.52,1.4742204
46,2.1344738483428953,0.505,2.1761762857437135,0.45,1.4514301
47,2.1132564783096313,0.48375,2.1212734985351562,0.575,1.4266323
48,2.1100440788269044,0.5075,2.1755810546875,0.495,1.4184564
49,2.1039982080459594,0.5125,2.1274349451065064,0.565,1.4085294
50,2.096879630088806,0.53,2.20974317073822,0.49,1.4071527
51,2.1380532217025756,0.49,2.1562090301513672,0.505,1.4533072
52,2.095470805168152,0.50875,2.0737923049926756,0.56,1.4085879
53,2.0399289560317992,0.53,2.077845230102539,0.515,1.3646594
54,2.0503530883789063,0.51625,2.1207873487472533,0.53,1.3727795
55,2.0692781352996827,0.50625,2.110127477645874,0.535,1.3865099
56,2.087657766342163,0.50875,2.1772498798370363,0.46,1.3962069
57,2.071219573020935,0.51625,2.1122381114959716,0.555,1.3833116
58,2.050691661834717,0.53125,2.102288131713867,0.48,1.3637601
59,2.0679128313064576,0.53375,2.0879714012146,0.575,1.3832245
60,2.039944915771484,0.51875,2.0584128284454346,0.545,1.3588623
61,2.021165523529053,0.53625,2.069727077484131,0.535,1.3497177
62,1.99848491191864,0.53375,2.055364866256714,0.515,1.3261632
63,1.9938730335235595,0.55,2.1119621324539186,0.53,1.3160127
64,2.0964073276519777,0.495,2.101850128173828,0.535,1.4154153
65,2.026858549118042,0.52125,2.0628695774078367,0.505,1.3412482
66,2.0323710584640504,0.52875,2.154624762535095,0.49,1.3640045
67,2.004770712852478,0.5475,2.0399979305267335,0.56,1.3360945
68,1.9267782258987427,0.58,2.000192756652832,0.605,1.2621185
69,1.9900068283081054,0.52,2.071542329788208,0.51,1.3269202
70,1.9622380065917968,0.55125,2.0475412464141844,0.515,1.2950815
71,1.9502874279022218,0.56,1.9830424690246582,0.59,1.2819145
72,1.9752938413619996,0.52625,2.030696601867676,0.56,1.3030373
73,1.9834546422958375,0.53875,2.006603407859802,0.595,1.3061883
74,1.9395419645309449,0.56375,2.0330459213256837,0.56,1.2678039
75,1.9670109224319459,0.56,2.0253546333312986,0.555,1.2947745
76,1.920320382118225,0.56625,2.0159891128540037,0.55,1.2439328
77,1.9216140079498292,0.58375,2.0239576864242554,0.56,1.2448181
78,1.8794370651245118,0.59625,1.9891398906707765,0.575,1.2021583
79,1.9198653316497802,0.57625,2.0705143928527834,0.48,1.2378129
80,1.9693452310562134,0.56375,1.9751149940490722,0.595,1.2865863
