epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,3.593305902481079,0.1025,2.9867089986801147,0.097222224,3.1755884
2,2.9526560497283936,0.10875,2.8725188175837197,0.098958336,2.5939677
3,2.957360391616821,0.13,2.728943294949002,0.13194445,2.6325996
4,2.740429105758667,0.11375,2.7364614407221475,0.10243055,2.4334505
5,2.7632211780548097,0.1225,2.677072975370619,0.10069445,2.4678724
6,2.6627498054504395,0.135,2.5001453028784857,0.13715278,2.3772871
7,2.6138635635375977,0.14125,2.627191331651476,0.11111111,2.3363442
8,2.6700528717041014,0.15,2.5901372300253973,0.16493055,2.3991323
9,2.6100331211090086,0.15,2.543236335118612,0.16319445,2.3435001
10,2.5572020912170412,0.15625,2.546861622068617,0.13368055,2.2950988
11,2.4588702297210694,0.20375,2.4187961684332953,0.1875,2.2034185
12,2.4447990226745606,0.1925,2.31385694609748,0.2517361,2.194176
13,2.3161470603942873,0.22875,2.276084237628513,0.2534722,2.0693636
14,2.269344925880432,0.27875,2.305091977119446,0.22222222,2.0251272
15,2.2484669733047484,0.27125,2.083406772878435,0.32291666,2.0058997
16,2.216996374130249,0.27625,1.9511319663789537,0.31944445,1.9755375
17,2.113038907051086,0.29875,1.9372271564271715,0.3559028,1.8721942
18,2.2161985492706298,0.28875,2.216298302014669,0.2847222,1.9755841
19,2.080207681655884,0.3225,1.9304955270555284,0.35069445,1.8409393
20,2.1271303701400757,0.3175,2.1906835900412664,0.24131945,1.8903521
21,2.0474385833740234,0.33875,2.062100430329641,0.2986111,1.8103738
22,1.9864488887786864,0.34,1.887049867047204,0.39756945,1.7505115
23,1.863351149559021,0.3875,1.9370989070998297,0.3454861,1.6293827
24,1.8338743543624878,0.42875,1.8374954991870456,0.38541666,1.6008002
25,1.8154707288742065,0.4175,1.8844710787137349,0.4097222,1.583563
26,1.7803859567642213,0.40375,1.8010190063052707,0.38541666,1.5484711
27,1.8622127056121827,0.39875,1.8768575257725186,0.3923611,1.630352
