epoch,loss,accuracy,val_loss,val_accuracy
0,2.308387346,0.2575,2.435142093,0.21875
1,1.765595498,0.48,2.092255427,0.30555555
2,1.617544188,0.5025,2.084130896,0.3576389
3,1.34845717,0.605,2.359517064,0.33680555
4,1.148190968,0.6775,1.766678181,0.49305555
5,1.22359796,0.6675,1.714226921,0.4965278
6,1.028887875,0.7325,2.012439873,0.46180555
7,0.998207269,0.74,1.659842696,0.5069444
8,0.971069458,0.75,1.912560893,0.48958334
9,0.834296472,0.7875,1.719819301,0.53125
10,0.817747664,0.8,1.259222355,0.6736111
11,0.739300039,0.825,1.405566093,0.6319444
12,0.803060298,0.815,1.209365646,0.6631944
13,0.628641973,0.8825,1.532076418,0.6597222
14,0.711114974,0.865,1.285963072,0.6736111
15,0.632771717,0.85,1.709498386,0.6076389
16,0.619759095,0.875,1.071889793,0.7673611
17,0.577192608,0.905,1.295284977,0.7256944
18,0.612517581,0.89,1.31845056,0.6666667
19,0.648131512,0.8725,1.629034625,0.6319444
20,0.553512473,0.8825,1.120651866,0.7083333
21,0.475117546,0.9325,0.954328777,0.7534722
22,0.467600746,0.92,1.080616633,0.7361111
23,0.481713879,0.9125,1.335152474,0.7048611
24,0.461198841,0.92,1.150189731,0.7534722
25,0.430835117,0.925,1.0520539,0.75
26,0.341587115,0.9825,1.187882033,0.7222222
27,0.406734626,0.945,1.346675899,0.7291667
28,0.388717703,0.9575,1.335337304,0.7222222
29,0.353369371,0.9725,1.06426263,0.7604167
30,0.40927453,0.945,1.371444368,0.6736111
31,0.383647048,0.945,1.319708728,0.7256944
32,0.355599009,0.9675,1.695106311,0.6319444
33,0.375175845,0.9625,1.331218425,0.6979167
34,0.348716037,0.965,1.111064149,0.7743056
35,0.309452326,0.985,1.392660757,0.7048611
36,0.374955692,0.95,1.405411651,0.71875
37,0.355175645,0.9675,1.394885341,0.71875
38,0.29903614,0.98,1.24831499,0.7222222
39,0.354171785,0.96,1.391903682,0.7083333
40,0.326719966,0.9725,1.095301666,0.8020833
41,0.403746443,0.94,1.366901855,0.7013889
42,0.414497642,0.9375,1.433581471,0.6875
43,0.311448687,0.9775,1.18648153,0.75
44,0.311972845,0.9725,1.31334044,0.7673611
45,0.299194958,0.975,1.121731011,0.7847222
46,0.299503242,0.98,1.597443087,0.6805556
47,0.346246438,0.96,1.117239336,0.7743056
48,0.283895079,0.985,1.04867128,0.7951389
49,0.337721995,0.965,1.390087969,0.7256944
50,0.28965794,0.98,1.035985418,0.8020833
51,0.272271108,0.9925,1.417560246,0.6631944
52,0.321779603,0.965,1.147850254,0.7569444
53,0.281518996,0.9825,1.184682921,0.7708333
54,0.269385893,0.9925,1.051249425,0.7916667
55,0.269383038,0.985,1.202257983,0.7673611
56,0.315090377,0.9725,1.213718812,0.75
57,0.284571522,0.9875,1.145359425,0.7326389
58,0.291041867,0.9825,1.069902084,0.7916667
59,0.287588535,0.9825,1.153620679,0.7847222
60,0.301284844,0.985,1.952882707,0.6215278
61,0.270560136,0.99,1.055307368,0.7847222
62,0.282308209,0.99,1.139952408,0.78125
63,0.276821678,0.98,1.219902883,0.7465278
64,0.264812605,0.9925,1.080329733,0.7881944
65,0.259990651,0.99,1.035422208,0.7847222
66,0.26677433,0.99,1.154004955,0.75
67,0.267318816,0.995,0.985230452,0.7986111
68,0.239681903,1,0.933850177,0.8159722
69,0.247793029,1,1.032950034,0.7951389
70,0.249063014,0.9975,1.06331443,0.8020833
71,0.266447464,0.9875,1.548378325,0.6979167
72,0.25769124,0.995,1.22037824,0.7465278
73,0.259290856,0.9925,1.030174184,0.8229167
74,0.257160456,0.9925,1.055192882,0.8090278
75,0.253315368,0.995,1.027119661,0.8298611
76,0.255309241,0.9975,1.047327013,0.8125
77,0.259161657,0.9925,1.089954448,0.8055556
78,0.254311609,0.9925,1.094474901,0.7847222
79,0.249707556,0.9925,1.101758282,0.7777778
80,0.262757099,0.995,1.165375921,0.7986111
81,0.260078089,0.995,1.094134456,0.8055556
82,0.239577127,0.9975,1.173549877,0.7951389
83,0.241002091,0.9975,1.092839455,0.8090278
84,0.265875506,0.985,1.570667351,0.7256944
85,0.256148376,0.9925,1.371882409,0.7569444
86,0.253979976,0.995,1.187779054,0.7916667
87,0.2568152,0.9925,1.069209741,0.7951389
88,0.24474649,1,1.000808946,0.8090278
89,0.246176211,0.9975,1.016058274,0.8090278
90,0.252596709,0.99,1.212063874,0.7986111
91,0.24049731,0.9975,1.090234515,0.8194444
92,0.241393543,0.9975,1.28494799,0.7881944
93,0.250997338,0.995,1.00660452,0.8263889
94,0.242238626,0.9975,1.007280219,0.8090278
95,0.245676772,0.9975,1.132852039,0.7881944
96,0.254302482,0.99,0.979132947,0.8368056
97,0.261361546,0.99,1.182497994,0.78125
98,0.244263085,0.9975,1.021960187,0.8020833
99,0.242120749,0.995,1.096052059,0.8055556
