epoch,loss,accuracy,val_loss,val_accuracy
0,2.400563173,0.105,2.289839334,0.088541664
1,2.177288537,0.19375,2.09120971,0.21527778
2,2.037035604,0.26,1.993008819,0.25694445
3,2.005459042,0.24625,1.934708059,0.3142361
4,1.949954004,0.3,1.9561131,0.28645834
5,1.957693515,0.3075,1.85826587,0.30381945
6,1.878556767,0.3425,1.838382734,0.34375
7,1.836969266,0.32625,1.841377974,0.33680555
8,1.86168016,0.3225,1.830960366,0.3732639
9,1.827105541,0.3675,1.810275548,0.3454861
10,1.795712442,0.38375,1.768437319,0.36631945
11,1.748054566,0.39625,1.777124431,0.3628472
12,2.465353889,0.2075,2.198304998,0.26041666
13,2.008403883,0.31,1.962966979,0.2847222
14,1.82639483,0.3575,1.822545244,0.35069445
15,1.779383063,0.385,1.75026487,0.3576389
16,1.713771186,0.415,1.76435062,0.359375
17,1.712913346,0.39375,1.697304547,0.4097222
18,1.637245407,0.4225,1.657781581,0.3871528
19,1.578694067,0.44375,1.640375455,0.38368055
20,1.602386589,0.42875,1.627319978,0.3940972
21,1.573980851,0.4525,1.594336867,0.421875
22,1.51409955,0.475,1.617912405,0.4375
23,1.542773523,0.48875,1.585843894,0.42708334
24,1.483574452,0.5,1.677164965,0.41493055
25,1.469308496,0.47875,1.578696185,0.421875
26,1.437678213,0.5275,1.580550823,0.41493055
27,1.497222381,0.4775,1.609846731,0.40625
28,1.484618502,0.48125,1.539408631,0.43055555
29,1.476633973,0.48625,1.537796438,0.42708334
30,1.453251634,0.49875,1.518399808,0.4409722
31,1.480830984,0.48125,1.531008654,0.43055555
32,1.421860557,0.5125,1.555715024,0.42708334
33,1.368996353,0.51625,1.561076177,0.4409722
34,1.453659868,0.49,1.613548213,0.4184028
35,1.383090675,0.5175,1.50170713,0.453125
36,1.363740849,0.51625,1.530327664,0.44791666
37,1.293994663,0.58125,1.54214906,0.42881945
38,1.320951471,0.54875,1.501093851,0.47569445
39,1.306247668,0.5625,1.483859036,0.4565972
40,1.301542587,0.55875,1.509900159,0.4722222
41,1.405694833,0.50625,1.611078971,0.43229166
42,1.357327466,0.52625,1.482375496,0.48958334
43,1.248590956,0.57375,1.484321952,0.46354166
44,1.288500605,0.555,1.468474653,0.49479166
45,1.272855697,0.56,1.4915241,0.4704861
46,1.342501979,0.54875,1.558965623,0.4652778
47,1.256895578,0.57125,1.513776349,0.4704861
48,1.307420452,0.56375,1.489049534,0.4357639
49,1.279503827,0.56125,1.567902684,0.4357639
50,1.249554348,0.6025,1.50984523,0.4652778
51,1.281133666,0.5675,1.45740923,0.49305555
52,1.193975399,0.605,1.458196123,0.46875
53,1.208914902,0.57125,1.507402559,0.47743055
54,1.285527842,0.57,1.476601899,0.46875
55,1.200987401,0.58875,1.427962648,0.4826389
56,1.269644647,0.56875,1.554685593,0.4409722
57,1.220136461,0.5675,1.471554206,0.4565972
58,1.218413453,0.57,1.434218956,0.46006945
59,1.219436719,0.565,1.424501439,0.4878472
60,1.156947689,0.6,1.463550058,0.4965278
61,1.126327243,0.60875,1.47558954,0.44444445
62,1.12650938,0.60625,1.474260403,0.4878472
63,1.172750704,0.59375,1.442686657,0.4826389
64,1.171233864,0.60375,1.430494772,0.49131945
65,1.083006971,0.6325,1.457909425,0.48958334
66,1.234438531,0.6025,1.429816637,0.4826389
67,1.178121912,0.6,1.481578496,0.46875
68,1.120707445,0.605,1.433438679,0.5034722
69,1.172832408,0.61375,1.421339889,0.49305555
70,1.18837013,0.59375,1.472873615,0.4652778
71,1.319836326,0.5475,1.484311872,0.47916666
72,1.128397763,0.61875,1.452400029,0.4826389
73,1.171627707,0.5975,1.424829245,0.49479166
74,1.108578148,0.61625,1.413653804,0.47743055
75,1.097626626,0.64125,1.449745403,0.4965278
76,1.088871677,0.62,1.409570184,0.5017361
77,1.161172762,0.595,1.43528035,0.4878472
78,1.131370864,0.59625,1.406661159,0.5
79,1.219726732,0.55625,1.501732323,0.4670139
80,1.199338908,0.5775,1.497897194,0.47916666
81,1.156359453,0.59125,1.454061343,0.4565972
82,1.10588311,0.6225,1.475185977,0.49479166
83,1.08716069,0.6425,1.579561392,0.4496528
84,1.042166343,0.635,1.445870519,0.4809028
85,1.126791277,0.61375,1.449387656,0.4982639
86,1.061778712,0.64875,1.440988368,0.4982639
87,0.972555737,0.66125,1.435497277,0.4965278
88,1.083632081,0.64125,1.41989794,0.453125
89,1.087650857,0.62125,1.398822659,0.484375
90,1.017991786,0.63125,1.394136018,0.4861111
91,1.131644156,0.60125,1.573225035,0.4670139
92,1.193386765,0.60875,1.458578693,0.46006945
93,1.123542695,0.6275,1.465980073,0.5
94,1.041480744,0.62375,1.439879212,0.47743055
95,1.053820696,0.64625,1.522693449,0.46875
96,1.05231312,0.635,1.425962991,0.47743055
97,0.978049362,0.68,1.369080239,0.4826389
98,0.963035128,0.6725,1.412000378,0.4704861
99,0.977589784,0.675,1.394668076,0.49479166
