epoch,loss,accuracy,val_loss,val_accuracy
0,1.718644557,0.4575,5.311666939,0.17708333
1,1.441694818,0.555,10.7275886,0.097222224
2,1.200417125,0.63625,5.319382906,0.2326389
3,1.017115757,0.695,4.691725731,0.20833333
4,0.936850231,0.72375,4.164662176,0.2204861
5,0.899624884,0.72875,1.974700325,0.5381944
6,0.798135179,0.76625,2.739433017,0.5190972
7,0.799427719,0.765,5.578446494,0.25694445
8,0.687629957,0.80625,1.774584923,0.5416667
9,0.596069109,0.8225,2.444494598,0.5017361
10,0.767096739,0.785,2.198790848,0.5069444
11,0.577772508,0.8375,2.544458893,0.47916666
12,0.528213086,0.845,2.708482557,0.4513889
13,0.568614857,0.8425,1.555334416,0.5972222
14,0.488548765,0.8675,3.400151292,0.4722222
15,0.518464264,0.85375,5.716367351,0.1857639
16,0.521377374,0.8425,2.140529493,0.515625
17,0.583101648,0.8375,5.154855543,0.14583333
18,0.539571445,0.85,2.834013985,0.5555556
19,0.433655472,0.8925,2.314472536,0.5711806
20,0.437911485,0.88875,2.618351804,0.5017361
21,0.464827255,0.86875,2.053459452,0.6059028
22,0.445974206,0.8925,2.016509665,0.6145833
23,0.417704642,0.885,2.741039501,0.4496528
24,0.341294163,0.92,2.943924824,0.4861111
25,0.355583724,0.9125,2.052484903,0.6059028
26,0.353772667,0.915,1.576952974,0.6354167
27,0.382771606,0.91,3.253871944,0.4809028
28,0.29508444,0.92625,2.366576009,0.5208333
29,0.313669833,0.92,1.625836362,0.6770833
30,0.301089452,0.93625,2.408409953,0.5902778
31,0.308222263,0.93125,2.89453621,0.484375
32,0.295225968,0.93375,2.583920578,0.49131945
33,0.399877199,0.89,2.004293508,0.6284722
34,0.311825676,0.94,2.993132379,0.49479166
35,0.258803785,0.95125,2.864641521,0.40625
36,0.274888773,0.94875,2.246720499,0.6041667
37,0.320728397,0.92125,3.337662147,0.4548611
38,0.264348792,0.94875,1.870131567,0.6145833
39,0.275671796,0.94375,2.754609055,0.5086806
40,0.242603179,0.94625,2.412717587,0.5607639
41,0.284588042,0.9425,2.405297663,0.5607639
42,0.243546686,0.95,2.554442392,0.5381944
43,0.436891366,0.9,1.763067802,0.5833333
44,0.350248948,0.91875,1.908907039,0.6475694
45,0.256419886,0.9375,1.558452828,0.7065972
46,0.293614909,0.92875,4.048752016,0.46875
47,0.37927114,0.905,2.086527487,0.5972222
48,0.275606384,0.9475,1.975012534,0.6111111
49,0.241784179,0.955,3.377134085,0.48958334
50,0.2443261,0.95,2.693102161,0.5625
51,0.253362714,0.96,2.452585717,0.5850694
52,0.24323797,0.95375,2.117013342,0.625
53,0.219096876,0.96,2.002273275,0.6527778
54,0.265790774,0.9475,1.859116157,0.6180556
55,0.231619266,0.9575,1.514863524,0.7118056
56,0.203234805,0.96125,1.588859349,0.6857639
57,0.167553357,0.98125,1.945508712,0.625
58,0.192649616,0.9725,1.579626825,0.6822917
59,0.211451724,0.9575,2.106936256,0.5989583
60,0.194894009,0.97,1.849379377,0.6909722
61,0.27421842,0.945,1.879398459,0.6892361
62,0.254461254,0.95125,1.70325272,0.71875
63,0.232135935,0.95375,1.811933299,0.6493056
64,0.248522302,0.94625,1.905574116,0.6336806
65,0.227103001,0.95625,2.453588486,0.5538194
66,0.248348084,0.9525,2.242908968,0.6440972
67,0.257372558,0.96,2.743339678,0.5607639
68,0.218158747,0.96,2.392872764,0.5989583
69,0.221322931,0.965,1.902885003,0.6579861
70,0.239907529,0.95625,2.154481113,0.6354167
71,0.295148432,0.9375,2.613300535,0.5416667
72,0.296011401,0.94,2.744760275,0.5954861
73,0.229137941,0.95625,2.512147837,0.5729167
74,0.216986724,0.95875,1.953274568,0.6579861
75,0.194529427,0.9725,1.551337222,0.7100694
76,0.191736057,0.97375,2.192046642,0.6371528
77,0.249382328,0.95125,1.995078365,0.6753472
78,0.225418716,0.96625,1.895837363,0.6875
79,0.203625694,0.9675,2.279448847,0.6215278
80,0.218232171,0.97,1.950828433,0.6579861
81,0.266676701,0.95125,2.194008751,0.65625
82,0.229910897,0.95875,2.564075039,0.5850694
83,0.225157401,0.965,1.792941653,0.7013889
84,0.195751088,0.97625,2.513095465,0.6354167
85,0.219554472,0.965,2.112576332,0.6510417
86,0.233699328,0.955,2.814787229,0.6076389
87,0.202378073,0.96625,2.028684133,0.6493056
88,0.211926958,0.9625,3.414480819,0.5190972
89,0.213032906,0.9675,1.983957403,0.671875
90,0.215697121,0.965,1.723161482,0.6909722
91,0.203451464,0.9725,1.865611149,0.6944444
92,0.214928137,0.96375,2.243776904,0.6440972
93,0.190259543,0.9725,1.779358758,0.703125
94,0.223525216,0.96875,1.72814948,0.703125
95,0.246934869,0.96,2.057995379,0.65625
96,0.175792722,0.98,1.821285963,0.6614583
97,0.176709738,0.98125,1.964236524,0.6649306
98,0.158124154,0.98625,1.823460639,0.6840278
99,0.18316797,0.975,2.771484123,0.5451389
